Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
30,40,2736277436,2189021948,1641766461,1094510974,505752419.1,0,254260319.6,483540837.1,690927331.8,878892991.3,1048900971,970896598.2,898741405.4,831975003.8,770077945.1,712380735.7,677027884,643969765.9,612843509.9,583737674.7,556414510.6,529963039.1,505062729.9,481483561.3,459310406.8,438391053,339544620.4,246721296,159447540.2,77333606.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,50,0,822904111.2,1645808222,2468712334,3041984994,3367560673,2822997401,2434206785,2080550471,1757611080,1461051362,1380348574,1305365988,1235708426,1170867416,1110063896,1054975630,1003463110,954960895.2,909606982,867030899.4,825812943.5,787012083.8,750269889.6,715718614.5,683121072.3,730370967,774459586.8,815567106.4,853979963,889772376.6,752551773.8,623107180,500832511.1,385255278.6,275999788.5,141950441.9,19292524.93,0,0,0,0,0,0,0,0
50,60,0,0,0,0,0,0,184980139.7,351786907.9,502665278.6,639414552,763099206.5,583332286.7,418503365.4,267194362.5,128080780.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96698385.2,187710249.9,273400124.8,354081372.8,430075851.8,518331013.7,601643619.3,684956225,768268830.6,851581436.2,934894041.8,1018206647,1101519253,1184831859,1268144464
60,70,4004878471,3380891721,2756904970,2132918219,1394496279,724289741,530991962.5,378681234.8,240486378,114716365.1,0,114216069.1,218513806,313898857.9,401250090.6,481194722.5,457314711,434984738.3,413959693.7,394299395.7,375843250.3,357976049.2,341156612.5,325229567,310252242.9,296121824.5,229353614.3,166653858.1,107702691.9,52236852.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,80,4616652085,5130268467,5643884848,6157501230,6165189659,5880400236,5475435879,5288843644,5116591835,4956277283,4803468005,4549724828,4313782103,4094442588,3890123706,3698327758,3286462705,2903768556,2546968793,2214940604,1905242531,1722454133,1551278610,1390477609,1239804583,1098326498,1026400377,958610678.2,894572509.1,834089687.2,776792497.4,679765210.8,588187560.3,501616256.2,419712592.2,342224366.3,247426099,160581247.1,73736395.21,0,0,0,0,0,0,0
80,90,0,288072488.2,576144976.4,864217464.5,1064901942,1178875605,1075349454,1017796409,965042000.3,916387143.1,870814772.6,826192594.4,784677722.1,746065247.2,710078875,676273370.7,871043324.2,1050733891,1216393261,1369688073,1511599808,1531954292,1550221322,1566226727,1580738248,1593754202,1520282767,1450887492,1385150804,1322925232,1263776466,1267871613,1271309079,1273978185,1275852705,1277061373,1280945262,1283603460,1286261657,1288919855,1291578052,1294236250,1296894447,1299552645,1302210843,1304869040
90,100,3092146915,2473717532,1855288149,1236858766,571528589.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6743477.226,13026140.62,18880950.86,24347189.83,29454974.04,103227808.4,172392644.5,237284451.6,298234117.6,355482051.9,339669859.5,324670275,310388215.1,296761328.4,283769362,268299738.4,253969135.4,239638532.5,225307929.6,210977326.6,196646723.7,182316120.8,167985517.8,153654914.9,139324312
100,150,1293779682,1556194163,1818608644,2081023125,2165714672,2132779479,1932297613,1816284109,1710087560,1612314946,1521050350,1438473601,1361726896,1290411510,1224009173,1161716739,1105859966,1053609666,1004385034,958342929.5,915105130.6,865455344.3,818776689,774660817.6,733211512.7,694150987.1,662316747.9,632247520.1,603762188.4,576797259.2,551164119.1,525162769.3,500508673,477048808.1,454681688.3,433370969.2,407935952.1,384396841.9,360857731.7,337318621.5,313779511.2,290240401,266701290.8,243162180.6,219623070.4,196083960.2
150,200,6048098904,4838479123,3628859342,2419239562,1117883959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992887.6693,1927386.814,2807240.391,3635665.976,4415968.366,5322162.01,6177606.066,7033050.121,7888494.177,8743938.232,9599382.288,10454826.34,11310270.4,12165714.45,13021158.51
200,250,1445453944,2413841525,3382229106,4350616686,4915618644,5145963725,3772613669,2690470108,1708617570,815041577.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,300,982200496.8,785760397.4,589320298.1,392880198.7,181542365.1,0,912144994.3,1734676315,2478664025,3152980551,3762874882,3521724070,3298197477,3090984102,2898518130,2718610232,2090665581,1508742577,968449260.3,466706382.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,350,0,85882491.51,171764983,257647474.5,317477148.1,351455895.1,404788859.1,463555761.4,516503177.3,564241673.4,606952550.8,579842950.8,554552484.1,530973477.5,508944071.1,488175860,956979730.2,1390091688,1790270227,2160993245,2504704456,2385632743,2273543612,2167401620,2067588823,1973420031,1828714742,1692406031,1563731770,1442270766,1327307572,1266859066,1209527527,1154952622,1102896977,1053280283,994144246.1,939384314.2,884624382.3,829864450.3,775104518.4,720344586.5,665584654.6,610824722.7,556064790.8,501304858.9
350,400,815897378.6,893510981.6,971124584.6,1048738188,1040930893,985394642.5,832621056.3,724782918,626659557.3,537022324.5,454639905.9,430463354.8,407985497.1,387091605.3,367630658.8,349365374.6,332027656.3,315815319.3,300550404.6,286276343.1,272876537.7,237569389.4,204549206.5,173594013.9,144615331,117438761.8,165951693,211403412.9,254009123.4,293997416.4,331514609.7,316416684,302097268.3,288466363.4,275464682,263072165.3,248302048.8,234624930.7,220947812.7,207270694.6,193593576.5,179916458.4,166239340.3,152562222.3,138885104.2,125207986.1
